Name,ShortName,LevelType,CityCode,ZipCode,MergerName,lng,Lat,Pinyin
甘南藏族自治州,甘南,2,941,747000,中国-甘肃省-甘南藏族自治州,102.911008,34.986354,Gannan
合作市,合作,3,941,747000,中国-甘肃省-甘南藏族自治州-合作市,102.91082,35.00016,Hezuo
临潭县,临潭,3,941,747500,中国-甘肃省-甘南藏族自治州-临潭县,103.35287,34.69515,Lintan
卓尼县,卓尼,3,941,747600,中国-甘肃省-甘南藏族自治州-卓尼县,103.50811,34.58919,Zhuoni
舟曲县,舟曲,3,941,746300,中国-甘肃省-甘南藏族自治州-舟曲县,104.37155,33.78468,Zhouqu
迭部县,迭部,3,941,747400,中国-甘肃省-甘南藏族自治州-迭部县,103.22274,34.05623,Diebu
玛曲县,玛曲,3,941,747300,中国-甘肃省-甘南藏族自治州-玛曲县,102.0754,33.997,Maqu
碌曲县,碌曲,3,941,747200,中国-甘肃省-甘南藏族自治州-碌曲县,102.49176,34.58872,Luqu
夏河县,夏河,3,941,747100,中国-甘肃省-甘南藏族自治州-夏河县,102.52215,35.20487,Xiahe
青海省,青海,1,,,中国-青海省,101.778916,36.623178,Qinghai
西宁市,西宁,2,971,810000,中国-青海省-西宁市,101.778916,36.623178,Xining
城东区,城东,3,971,810007,中国-青海省-西宁市-城东区,101.80373,36.59969,Chengdong
城中区,城中,3,971,810000,中国-青海省-西宁市-城中区,101.78394,36.62279,Chengzhong
城西区,城西,3,971,810001,中国-青海省-西宁市-城西区,101.76588,36.62828,Chengxi
城北区,城北,3,971,810003,中国-青海省-西宁市-城北区,101.7662,36.65014,Chengbei
大通回族土族自治县,大通,3,971,810100,中国-青海省-西宁市-大通回族土族自治县,101.70236,36.93489,Datong
湟中县,湟中,3,971,811600,中国-青海省-西宁市-湟中县,101.57159,36.50083,Huangzhong
湟源县,湟源,3,971,812100,中国-青海省-西宁市-湟源县,101.25643,36.68243,Huangyuan
海东市,海东,2,972,810700,中国-青海省-海东市,102.10327,36.502916,Haidong
乐都区,乐都,3,972,810700,中国-青海省-海东市-乐都区,102.402431,36.480291,Ledu
平安县,平安,3,972,810600,中国-青海省-海东市-平安县,102.104295,36.502714,Ping'an
民和回族土族自治县,民和,3,972,810800,中国-青海省-海东市-民和回族土族自治县,102.804209,36.329451,Minhe
互助土族自治县,互助,3,972,810500,中国-青海省-海东市-互助土族自治县,101.956734,36.83994,Huzhu
化隆回族自治县,化隆,3,972,810900,中国-青海省-海东市-化隆回族自治县,102.262329,36.098322,Hualong
循化撒拉族自治县,循化,3,972,811100,中国-青海省-海东市-循化撒拉族自治县,102.486534,35.847247,Xunhua
海北藏族自治州,海北,2,970,812200,中国-青海省-海北藏族自治州,100.901059,36.959435,Haibei
门源回族自治县,门源,3,970,810300,中国-青海省-海北藏族自治州-门源回族自治县,101.62228,37.37611,Menyuan
祁连县,祁连,3,970,810400,中国-青海省-海北藏族自治州-祁连县,100.24618,38.17901,Qilian
海晏县,海晏,3,970,812200,中国-青海省-海北藏族自治州-海晏县,100.9927,36.89902,Haiyan
刚察县,刚察,3,970,812300,中国-青海省-海北藏族自治州-刚察县,100.14675,37.32161,Gangcha
黄南藏族自治州,黄南,2,973,811300,中国-青海省-黄南藏族自治州,102.019988,35.517744,Huangnan
同仁县,同仁,3,973,811300,中国-青海省-黄南藏族自治州-同仁县,102.0184,35.51603,Tongren
尖扎县,尖扎,3,973,811200,中国-青海省-黄南藏族自治州-尖扎县,102.03411,35.93947,Jianzha
泽库县,泽库,3,973,811400,中国-青海省-黄南藏族自治州-泽库县,101.46444,35.03519,Zeku
